Size, Iterative Matrix Multiplication, Recursive Matrix Multiplication, Strassens Matrix Multiplication
2, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0
8, 0.000999927520752, 0.00100016593933, 0.000999927520752
16, 0.000999927520752, 0.00999999046326, 0.00899982452393
32, 0.00499987602234, 0.0829999446869, 0.0729999542236
64, 0.0360000133514, 0.821000099182, 0.729000091553
128, 0.263999938965, 6.37199997902, 6.06100010872
256, 3.15700006485, 57.2630000114, 45.364000082
512, 22.6740000248, 389.819000006, 347.644000053
Size, Iterative Matrix Multiplication, Recursive Matrix Multiplication, Strassens Matrix Multiplication
2, 0.0, 0.0, 0.000999927520752
4, 0.0, 0.0, 0.0
8, 0.0, 0.00200009346008, 0.000999927520752
16, 0.000999927520752, 0.0090000629425, 0.00999999046326
32, 0.00500011444092, 0.0799999237061, 0.0709998607635
64, 0.0349998474121, 0.642999887466, 0.569999933243
Size, Iterative Matrix Multiplication, Recursive Matrix Multiplication, Strassens Matrix Multiplication
2, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0
8, 0.0, 0.00100016593933, 0.000999927520752
16, 0.000999927520752, 0.00999999046326, 0.00799989700317
32, 0.00399994850159, 0.0800001621246, 0.0720000267029
64, 0.0329999923706, 0.653000116348, 0.585000038147
